               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10974,            0.040271,                   0,            0.048305,            0.097179,            0.019975,           0.0029613,            0.090459,             0.04489,                   0,             0.00056,             0.00056,             0.09496
                   1,             0.08213,            0.044398,                   0,             0.53702,             0.40439,             0.39217,            0.092442,            0.064231,            0.036878,                   0,             0.00113,             0.00113,             0.08983
                   2,            0.064489,            0.034082,                   0,             0.34593,             0.51411,             0.28961,            0.093387,            0.071959,            0.027298,                   0,           0.0016998,           0.0016998,              0.0847
                   3,            0.067439,            0.030488,                   0,             0.55682,             0.57053,             0.59995,             0.20843,            0.056828,            0.026454,                   0,           0.0022695,           0.0022695,            0.079569
                   4,            0.060169,            0.027621,                   0,             0.76598,             0.68966,             0.79344,             0.36727,            0.041628,            0.024636,                   0,           0.0028389,           0.0028389,            0.074439
                   5,            0.055326,            0.025605,                   0,             0.60021,             0.75772,             0.72244,               0.217,            0.049085,            0.022407,                   0,           0.0034079,           0.0034079,            0.069308
                   6,            0.051728,            0.024814,                   0,             0.83139,              0.7931,             0.88154,             0.47184,            0.036891,            0.021759,                   0,           0.0039765,           0.0039765,            0.064176
                   7,             0.04821,            0.023519,                   0,             0.65578,             0.83609,             0.78883,             0.38791,            0.040783,            0.020255,                   0,           0.0045445,           0.0045445,            0.059045
                   8,            0.046564,            0.022027,                   0,             0.81976,             0.88398,             0.89975,             0.43862,             0.03743,            0.019808,                   0,           0.0051119,           0.0051119,            0.053912
                   9,            0.050653,            0.022598,                   0,             0.75459,             0.76148,             0.83116,             0.46197,            0.036994,            0.019772,                   0,           0.0056786,           0.0056786,            0.048779
                  10,            0.047484,            0.020917,                   0,             0.91809,             0.91536,             0.95732,             0.52673,             0.03395,            0.019324,                   0,           0.0062446,           0.0062446,            0.043645
                  11,            0.044279,            0.021973,                   0,             0.84114,             0.88401,             0.93332,              0.5645,            0.034587,            0.019048,                   0,           0.0068096,           0.0068096,             0.03851
                  12,            0.043992,            0.020618,                   0,             0.86816,             0.90909,             0.93657,             0.54591,            0.033118,            0.018721,                   0,           0.0073737,           0.0073737,            0.033374
                  13,            0.039871,            0.019432,                   0,             0.96026,             0.90887,             0.96718,             0.62423,            0.030279,            0.017885,                   0,           0.0079368,           0.0079368,            0.028237
                  14,            0.041266,            0.019835,                   0,             0.92009,             0.94044,             0.96348,             0.47249,            0.036033,            0.017611,                   0,           0.0084988,           0.0084988,            0.023099
                  15,             0.04202,            0.019663,                   0,             0.91804,             0.91536,             0.96016,             0.48501,            0.035634,            0.017742,                   0,           0.0090595,           0.0090595,             0.01796
                  16,            0.042305,            0.020113,                   0,             0.81073,              0.9279,             0.89923,             0.50933,            0.033735,            0.017138,                   0,            0.009619,            0.009619,            0.012819
                  17,            0.040315,            0.019738,                   0,             0.95409,             0.91202,             0.96748,             0.55774,            0.030223,            0.017397,                   0,           0.0099289,           0.0099289,           0.0099289
                  18,            0.036127,            0.019635,                   0,             0.93033,             0.92163,             0.96568,             0.59618,            0.031015,            0.018604,                   0,           0.0099289,           0.0099289,           0.0099289
                  19,            0.035334,            0.018731,                   0,             0.93037,             0.92145,              0.9696,             0.61012,             0.02865,            0.016972,                   0,           0.0099203,           0.0099203,           0.0099203
                  20,            0.034241,            0.017621,                   0,             0.95569,             0.94656,             0.97868,             0.63508,            0.029013,            0.016892,                   0,           0.0099112,           0.0099112,           0.0099112
                  21,            0.035019,            0.018008,                   0,             0.98955,             0.89023,             0.96694,              0.6718,            0.027194,            0.016079,                   0,           0.0099017,           0.0099017,           0.0099017
                  22,            0.032936,              0.0179,                   0,             0.97609,             0.89584,             0.96541,             0.64244,            0.028379,            0.016828,                   0,           0.0098916,           0.0098916,           0.0098916
                  23,            0.031092,            0.017182,                   0,             0.94276,             0.87771,             0.94175,             0.63495,            0.028539,            0.017259,                   0,           0.0098811,           0.0098811,           0.0098811
                  24,            0.030054,            0.017013,                   0,             0.98961,             0.91536,             0.98166,             0.67287,            0.026255,            0.016151,                   0,           0.0098701,           0.0098701,           0.0098701
                  25,            0.030036,            0.017126,                   0,             0.97414,             0.94984,             0.98623,             0.68237,            0.025018,            0.015555,                   0,           0.0098586,           0.0098586,           0.0098586
